,ind_code,discription
1022,SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)"
1023,SL.TLF.0714.WK.MA.TM,"Average working hours of children, working only, male, ages 7-14 (hours per week)"
1024,SL.TLF.0714.SW.TM,"Average working hours of children, study and work, ages 7-14 (hours per week)"
1025,SL.TLF.0714.SW.FE.TM,"Average working hours of children, study and work, female, ages 7-14 (hours per week)"
1026,SL.SRV.EMPL.MA.ZS,"Employment in services, male (% of male employment) (modeled ILO estimate)"
1027,SL.SRV.0714.FE.ZS,"Child employment in services, female (% of female economically active children ages 7-14)"
1028,SL.MNF.0714.ZS,Child employment in manufacturing (% of economically active children ages 7-14)
1029,SL.IND.EMPL.MA.ZS,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
1030,SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
1031,SL.FAM.0714.FE.ZS,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
1032,SL.EMP.VULN.ZS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
1033,SL.EMP.TOTL.SP.NE.ZS,"Employment to population ratio, 15+, total (%) (national estimate)"
1034,SL.EMP.TOTL.SP.FE.NE.ZS,"Employment to population ratio, 15+, female (%) (national estimate)"
1035,SL.EMP.SELF.FE.ZS,"Self-employed, female (% of female employment) (modeled ILO estimate)"
1036,SL.EMP.1524.SP.ZS,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
1037,SL.EMP.1524.SP.FE.ZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
1038,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
1039,SI.SPR.PGAP,Prosperity gap (average shortfall from a prosperity standard of $25/day)
1040,SI.SPR.PC40,"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)"
1041,SI.POV.UMIC,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)
1042,SI.POV.MPUN,Multidimensional poverty headcount ratio (UNDP) (% of population)
1043,SI.POV.GAPS,Poverty gap at $2.15 a day (2017 PPP) (%)
1044,SI.DST.50MD,Proportion of people living below 50 percent of median income (%)
1045,SI.DST.03RD.20,Income share held by third 20%
1046,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure)
1047,SH.XPD.GHED.PP.CD,"Domestic general government health expenditure per capita, PPP (current international $)"
1048,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure)
1049,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)"
1050,SH.UHC.TOTR.ZS,Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
1051,SH.UHC.OOPC.25.ZS,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)
1052,SH.UHC.NOP1.ZS,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
1053,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)"
1054,SH.SVR.WAST.MA.ZS,"Prevalence of severe wasting, weight for height, male (% of children under 5)"
1055,SH.STA.WAST.FE.ZS,"Prevalence of wasting, weight for height, female (% of children under 5)"
1056,SH.STA.SUIC.MA.P5,"Suicide mortality rate, male (per 100,000 male population)"
1057,SH.STA.STNT.MA.ZS,"Prevalence of stunting, height for age, male (% of children under 5)"
1058,SH.STA.SMSS.RU.ZS,"People using safely managed sanitation services, rural (% of rural population)"
1059,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)"
1060,SH.STA.ORTH,Diarrhea treatment (% of children under 5 who received ORS packet)
1061,SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)"
1062,SH.STA.MALN.MA.ZS,"Prevalence of underweight, weight for age, male (% of children under 5)"
1063,RQ.PER.RNK,Regulatory Quality: Percentile Rank
1064,RL.PER.RNK.UPPER,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval"
1065,RL.EST,Rule of Law: Estimate
1066,PV.PER.RNK.LOWER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval"
1067,per_si_allsi.cov_q5_tot,Coverage of social insurance programs in richest quintile (% of population)
1068,per_si_allsi.cov_q1_tot,Coverage of social insurance programs in poorest quintile (% of population)
1069,per_sa_allsa.cov_q5_tot,Coverage of social safety net programs in richest quintile (% of population)
1070,per_sa_allsa.cov_q1_tot,Coverage of social safety net programs in poorest quintile (% of population)
1071,per_lm_alllm.cov_q5_tot,Coverage of unemployment benefits and ALMP in richest quintile (% of population)
1072,per_lm_alllm.cov_q1_tot,Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
1073,per_allsp.cov_pop_tot,Coverage of social protection and labor programs (% of population)
1074,PA.NUS.PPPC.RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate
1075,NY.TTF.GNFS.KN,Terms of trade adjustment (constant LCU)
1076,NY.TAX.NIND.KN,Taxes less subsidies on products (constant LCU)
1077,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU)
1078,NY.GNS.ICTR.CN,Gross savings (current LCU)
1079,NY.GNP.PCAP.KN,GNI per capita (constant LCU)
1080,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)"
1081,NY.GNP.MKTP.KD.ZG,GNI growth (annual %)
1082,NY.GNP.MKTP.CD,GNI (current US$)
1083,NY.GDS.TOTL.CN,Gross domestic savings (current LCU)
1084,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)"
1085,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$)
1086,NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2021 international $)"
1087,NY.GDP.MKTP.KD,GDP (constant 2015 US$)
1088,NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
1089,NY.GDP.FCST.CN,Gross value added at basic prices (GVA) (current LCU)
1090,NY.GDP.DEFL.ZS.AD,GDP deflator: linked series (base year varies by country)
1091,NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
1092,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
1093,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$)
1094,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
1095,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
1096,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
1097,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
1098,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
1099,NV.SRV.TOTL.KD.ZG,"Services, value added (annual % growth)"
1100,NV.SRV.EMPL.KD,"Services, value added per worker (constant 2015 US$)"
1101,NV.MNF.MTRN.ZS.UN,Machinery and transport equipment (% of value added in manufacturing)
1102,NV.IND.TOTL.KN,"Industry (including construction), value added (constant LCU)"
1103,NV.IND.TOTL.CD,"Industry (including construction), value added (current US$)"
1104,NV.IND.MANF.KD,"Manufacturing, value added (constant 2015 US$)"
1105,HD.HCI.OVRL.UB.FE,"Human capital index (HCI), female, upper bound (scale 0-1)"
1106,HD.HCI.OVRL.LB.FE,"Human capital index (HCI), female, lower bound (scale 0-1)"
1107,GF.XPD.BUDG.ZS,Primary government expenditures as a proportion of original approved budget (%)
1108,GE.PER.RNK,Government Effectiveness: Percentile Rank
1109,GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU)
1110,GC.XPN.OTHR.CN,Other expense (current LCU)
1111,GC.XPN.GSRV.ZS,Goods and services expense (% of expense)
1112,GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)"
1113,GC.TAX.TOTL.CN,Tax revenue (current LCU)
1114,GC.TAX.INTT.CN,Taxes on international trade (current LCU)
1115,GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue)
1116,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)"
1117,GC.REV.GOTR.ZS,Grants and other revenue (% of revenue)
1118,GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP)
1119,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
1120,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP)
1121,FX.OWN.TOTL.PL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
1122,FX.OWN.TOTL.60.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
1123,FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP)
1124,FR.INR.LNDP,"Interest rate spread (lending rate minus deposit rate, %)"
1125,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
1126,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
1127,FM.AST.NFRG.CN,Net foreign assets (current LCU)
1128,FI.RES.XGLD.CD,Total reserves minus gold (current US$)
1129,FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%)
1130,FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)"
1131,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
1132,ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)"
1133,ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
1134,ER.FSH.PROD.MT,Total fisheries production (metric tons)
1135,EN.URB.MCTY,Population in urban agglomerations of more than 1 million
1136,EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population)
1137,EN.MAM.THRD.NO,"Mammal species, threatened"
1138,EN.GHG.N2O.WA.MT.CE.AR5,Nitrous oxide (N2O) emissions from Waste (Mt CO2e)
1139,EN.GHG.N2O.IP.MT.CE.AR5,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)
1140,EN.GHG.N2O.AG.MT.CE.AR5,Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)
1141,EN.GHG.CO2.TR.MT.CE.AR5,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)
1142,EN.GHG.CO2.PC.CE.AR5,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)
1143,EN.GHG.CO2.LU.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e)
1144,EN.GHG.CO2.IC.MT.CE.AR5,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)
1145,EN.GHG.CH4.ZG.AR5,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)
1146,EN.GHG.CH4.MT.CE.AR5,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)
1147,EN.GHG.CH4.BU.MT.CE.AR5,Methane (CH4) emissions from Building (Energy) (Mt CO2e)
1148,EN.GHG.ALL.LU.MT.CE.AR5,Total greenhouse gas emissions including LULUCF (Mt CO2e)
1149,EN.BIR.THRD.NO,"Bird species, threatened"
1150,EN.ATM.PM25.MC.T1.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)"
1151,EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy)
1152,DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)"
1153,DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)"
1154,DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)"
1155,DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)"
1156,DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
1157,DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
1158,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI)
1159,DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)"
1160,DC.DAC.POLL.CD,"Net bilateral aid flows from DAC donors, Poland (current US$)"
1161,DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
1162,DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)"
1163,DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)"
1164,DC.DAC.ESTL.CD,"Net bilateral aid flows from DAC donors, Estonia (current US$)"
1165,DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czechia (current US$)"
1166,DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)"
1167,CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)"
1168,CM.MKT.LCAP.CD,Market capitalization of listed domestic companies (current US$)
1169,CC.PER.RNK.LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval"
1170,BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)"
1171,BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)"
1172,BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)"
1173,BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)"
1174,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
1175,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
1176,BN.KLT.PTXL.CD,"Portfolio investment, net (BoP, current US$)"
1177,BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)"
1178,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)"
1179,SL.UEM.NEET.FE.ME.ZS,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)"
1180,SL.UEM.BASC.ZS,Unemployment with basic education (% of total labor force with basic education)
1181,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)"
1182,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
1183,SL.TLF.TOTL.IN,"Labor force, total"
1184,SL.TLF.PART.FE.ZS,"Part time employment, female (% of total female employment)"
1185,SL.TLF.CACT.ZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
1186,SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
1187,SL.TLF.BASC.ZS,Labor force with basic education (% of total working-age population with basic education)
1188,SL.TLF.ADVN.MA.ZS,"Labor force with advanced education, male (% of male working-age population with advanced education)"
1189,SL.TLF.ACTI.FE.ZS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
1190,SL.TLF.ACTI.1524.MA.NE.ZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)"
1191,SL.TLF.0714.WK.ZS,"Children in employment, work only (% of children in employment, ages 7-14)"
1192,SL.TLF.0714.WK.FE.ZS,"Children in employment, work only, female (% of female children in employment, ages 7-14)"
1193,SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
1194,SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)"
1195,SL.SRV.EMPL.FE.ZS,"Employment in services, female (% of female employment) (modeled ILO estimate)"
1196,SL.SLF.0714.ZS,"Children in employment, self-employed (% of children in employment, ages 7-14)"
1197,SL.MNF.0714.MA.ZS,"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
1198,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
1199,SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
1200,SL.EMP.WORK.ZS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
1201,SL.EMP.VULN.MA.ZS,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
1202,SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
1203,SL.EMP.SMGT.FE.ZS,Female share of employment in senior and middle management (%)
1204,SL.EMP.MPYR.ZS,"Employers, total (% of total employment) (modeled ILO estimate)"
1205,SL.EMP.1524.SP.NE.ZS,"Employment to population ratio, ages 15-24, total (%) (national estimate)"
1206,SL.EMP.1524.SP.FE.NE.ZS,"Employment to population ratio, ages 15-24, female (%) (national estimate)"
1207,SL.AGR.0714.ZS,Child employment in agriculture (% of economically active children ages 7-14)
1208,SI.SPR.PCAP.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
1209,SI.RMT.COST.OB.ZS,Average transaction cost of sending remittances from a specific country (%)
1210,SI.POV.SOPO,Poverty headcount ratio at societal poverty line (% of population)
1211,SI.POV.LMIC.GP,Poverty gap at $3.65 a day (2017 PPP) (%)
1212,SI.POV.DDAY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)
1213,SI.DST.10TH.10,Income share held by highest 10%
1214,SI.DST.02ND.20,Income share held by second 20%
1215,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)"
1216,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$)
1217,SH.XPD.EHEX.PP.CD,"External health expenditure per capita, PPP (current international $)"
1218,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$)
1219,SH.UHC.TOT2.ZS,Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
1220,SH.UHC.OOPC.10.ZS,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)
1221,SH.UHC.FBPR.ZS,Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%)
1222,SH.TBS.DTEC.ZS,"Tuberculosis case detection rate (%, all forms)"
1223,SH.SVR.WAST.FE.ZS,"Prevalence of severe wasting, weight for height, female (% of children under 5)"
1224,SH.STA.WASH.P5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
1225,SH.STA.SUIC.FE.P5,"Suicide mortality rate, female (per 100,000 female population)"
1226,SH.STA.STNT.FE.ZS,"Prevalence of stunting, height for age, female (% of children under 5)"
1227,SH.STA.POIS.P5.MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
1228,SH.STA.OWGH.ME.ZS,"Prevalence of overweight (modeled estimate, % of children under 5)"
1229,SH.STA.ORCF.ZS,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
1230,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
1231,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
1232,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$)
1233,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
1234,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
1235,NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)"
1236,NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure (annual % growth)
1237,NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure (current US$)
1238,NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$)
1239,MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure)
1240,MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force)
1241,LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
1242,LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
1243,IT.NET.USER.ZS,Individuals using the Internet (% of population)
1244,IT.NET.SECR,Secure Internet servers
1245,IT.MLT.MAIN,Fixed telephone subscriptions
1246,IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100)
1247,IS.AIR.PSGR,"Air transport, passengers carried"
1248,IQ.SPI.PIL4,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)
1249,IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100)
1250,IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
1251,IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high)
1252,IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high)
1253,IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high)
1254,IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high)
1255,IP.PAT.RESD,"Patent applications, residents"
1256,IP.IDS.NRCT,"Industrial design applications, nonresident, by count"
1257,IE.PPN.ENGY.CD,Public private partnerships investment in energy (current US$)
1258,IE.PPI.ENGY.CD,Investment in energy with private participation (current US$)
1259,IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits)
1260,IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits)
1261,IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)"
1262,IC.REG.DURS,Time required to start a business (days)
1263,IC.PRP.PROC,Procedures to register property (number)
1264,IC.ISV.DURS,Time to resolve insolvency (years)
1265,IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)"
1266,IC.FRM.RSDV.ZS,Firms that spend on R&D (% of firms)
1267,IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms)
1268,IC.FRM.CRIM.ZS,Losses due to theft and vandalism (% of annual sales for affected firms)
1269,IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms)
1270,IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)"
1271,IC.ELC.OUTG,Power outages in firms in a typical month (number)
1272,IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults)
1273,IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations)
1274,NV.IND.MANF.CD,"Manufacturing, value added (current US$)"
1275,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
1276,NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)"
1277,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
1278,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP)
1279,NE.IMP.GNFS.CN,Imports of goods and services (current LCU)
1280,NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth)
1281,NE.GDI.STKB.KN,Changes in inventories (constant LCU)
1282,NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU)
1283,NE.GDI.FTOT.CD,Gross fixed capital formation (current US$)
1284,NE.EXP.GNFS.KN,Exports of goods and services (constant LCU)
1285,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
1286,NE.DAB.TOTL.CN,Gross national expenditure (current LCU)
1287,NE.CON.TOTL.KN,Final consumption expenditure (constant LCU)
1288,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
1289,NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth (annual %)
1290,NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$)
1291,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
1292,NE.CON.GOVT.CN,General government final consumption expenditure (current LCU)
1293,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
1294,MS.MIL.TOTL.P1,"Armed forces personnel, total"
1295,LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high)
1296,LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
1297,IT.NET.USER.MA.ZS,"Individuals using the Internet, male (% of male population)"
1298,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people)
1299,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people)
1300,IS.RRS.TOTL.KM,Rail lines (total route-km)
1301,IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)"
1302,IQ.SPI.PIL3,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)
1303,IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
1304,IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
1305,IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high)
1306,IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high)
1307,IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high)
1308,IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high)
1309,IP.PAT.NRES,"Patent applications, nonresidents"
1310,IE.PPN.WATR.CD,Public private partnerships investment in water and sanitation (current US$)
1311,IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$)
1312,IC.WRH.PROC,Procedures to build a warehouse (number)
1313,IC.TAX.PAYM,Tax payments (number)
1314,IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms)
1315,IC.REG.PROC,Start-up procedures to register a business (number)
1316,IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita)
1317,IC.PRP.DURS,Time required to register property (days)
1318,EN.GHG.CH4.IP.MT.CE.AR5,Methane (CH4) emissions from Industrial Processes (Mt CO2e)
1319,EN.GHG.CH4.AG.MT.CE.AR5,Methane (CH4) emissions from Agriculture (Mt CO2e)
1320,EN.FSH.THRD.NO,"Fish species, threatened"
1321,EN.ATM.PM25.MC.ZS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
1322,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1323,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)"
1324,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)
1325,EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
1326,EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total)
1327,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total)
1328,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
1329,DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service)
1330,DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
1331,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)"
1332,DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)"
1333,DT.ODA.ODAT.CD,Net official development assistance received (current US$)
1334,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$)
1335,DT.NFL.UNWT.CD,"Net official flows from UN agencies, UNWTO (current US$)"
1336,DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)"
1337,DT.NFL.UNEP.CD,"Net official flows from UN agencies, UNEP (current US$)"
1338,DT.NFL.UNCTAD.CD,"Net official flows from UN agencies, UNCTAD (current US$)"
1339,DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)"
1340,CC.PER.RNK,Control of Corruption: Percentile Rank
1341,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)"
1342,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
1343,BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)"
1344,BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)"
1345,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
1346,BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)"
1347,BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)"
1348,BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)"
